open,high,low,close,volume,trade_count,vwap,return,lagged_return
198.73,199.83,198.17,199.51,4322585,26783,199.321908,-0.11058054787634886,0.09559267458241205
199.09,199.27,198.75,198.76,2303543,15160,198.934408,0.18115030443315305,-0.11058054787634886
198.72,199.405,198.21,198.4,3029218,17926,198.720615,-0.1858455974684814,0.18115030443315305
198.63,199.57,198.15,199.33,5209773,30015,198.883104,-0.045289855072461194,-0.1858455974684814
198.91,198.91,197.53,198.75,3865239,22856,198.290261,0.1409656144590432,-0.045289855072461194
198.91,199.35,198.32,198.7,3468891,17625,198.812216,0.0,0.1409656144590432
198.27,198.65,197.587,198.09,3329829,18785,198.132281,-0.3217535568850183,0.0
198.2,198.23,197.3,197.95,4634930,19060,197.915498,-0.03530539163767443,-0.3217535568850183
198.04,198.16,196.69,197.28,3050941,17776,197.456881,-0.08072653884964032,-0.03530539163767443
197.48,198.2,197.31,197.96,6998974,33630,197.706231,-0.28277115734195446,-0.08072653884964032
197.89,198.11,197.04,197.78,3249687,17290,197.635607,0.20761596110998592,-0.28277115734195446
197.78,199.22,197.62,198.84,5205819,26771,198.408763,-0.05558643690938281,0.20761596110998592
200.0,200.55,199.75,200.42,4880846,27763,200.244343,1.1224592982101322,-0.05558643690938281
200.64,200.97,200.42,200.72,3999710,24050,200.728012,0.31999999999998696,1.1224592982101322
200.67,200.87,200.45,200.63,3576507,16795,200.653024,0.014952153110048272,0.31999999999998696
199.82,199.9,198.42,199.38,4718049,27687,199.115745,-0.4235810036378074,0.014952153110048272
198.74,198.89,197.56,198.36,4628094,25687,198.235135,-0.5404864377940077,-0.4235810036378074
199.13,199.4,198.2,198.63,3676914,22316,198.733098,0.19623628861829,-0.5404864377940077
198.16,198.97,198.02,198.61,2640562,15335,198.462909,-0.4871189675086596,0.19623628861829
199.53,200.57,199.44,200.38,4857335,26800,200.098827,0.6913605167541359,-0.4871189675086596
200.03,200.7,199.78,200.28,2770903,13343,200.316345,0.2505888838771009,0.6913605167541359
200.89,201.3001,200.43,200.58,2606330,13872,200.759562,0.4299355096735402,0.2505888838771009
200.5,200.69,200.15,200.51,2291450,12859,200.49935,-0.19413609438000412,0.4299355096735402
200.82,202.1052,200.77,201.72,3487574,18760,201.478606,0.15960099750622625,-0.19413609438000412
202.3,203.0,202.0675,202.74,2880299,15333,202.564289,0.7369783886067127,0.15960099750622625
203.32,204.47,203.32,204.2,2637381,15347,204.009248,0.5042016806722671,0.7369783886067127
204.05,205.18,203.945,205.17,3586627,20820,204.585093,0.3590399370450692,0.5042016806722671
205.42,206.49,205.29,206.38,3646005,20325,206.039756,0.6714040676304656,0.3590399370450692
206.51,206.7199,205.85,206.48,4589617,25623,206.288074,0.5306201927757881,0.6714040676304656
205.02,205.92,205.02,205.88,5747721,23291,205.534465,-0.7215146966248476,0.5306201927757881
206.61,207.3,206.42,207.07,3076688,20185,206.915788,0.77553409423472,-0.7215146966248476
206.73,207.53,206.64,207.45,2254362,14792,207.246232,0.058080441411334505,0.77553409423472
208.08,208.15,207.21,207.82,3179933,18634,207.756785,0.6530256856769778,0.058080441411334505
207.07,207.95,207.07,207.93,3703905,21917,207.463027,-0.4853902345251959,0.6530256856769778
207.73,208.37,207.61,208.29,3433737,21170,208.09745,0.3187327956729602,-0.4853902345251959
208.11,208.31,207.68,207.98,2821874,17009,208.032012,0.18292976459828303,0.3187327956729602
209.94,211.59,209.88,211.02,7846089,41995,210.913634,0.8793426553264982,0.18292976459828303
211.19,211.19,209.84,209.89,3336864,19705,210.537343,0.5954082118700521,0.8793426553264982
